cat,dur,name,ph,pid,tid,ts
Best,185454,"Merge Sort (Best, Size: 100000)",X,0,2644682791,15404918658
Best,349957,"Quick Sort (Best, Size: 100000)",X,0,2644682791,15405104289
Average,196717,"Merge Sort (Average, Size: 100000)",X,0,2644682791,15405461003
Average,347540,"Quick Sort (Average, Size: 100000)",X,0,2644682791,15405657867
Worst,176569,"Merge Sort (Worst, Size: 100000)",X,0,2644682791,15406007301
Worst,336208,"Quick Sort (Worst, Size: 100000)",X,0,2644682791,15406184045
Best,348541,"Merge Sort (Best, Size: 200000)",X,0,2644682791,15406521027
Best,673011,"Quick Sort (Best, Size: 200000)",X,0,2644682791,15406869745
Average,371515,"Merge Sort (Average, Size: 200000)",X,0,2644682791,15407555540
Average,685413,"Quick Sort (Average, Size: 200000)",X,0,2644682791,15407927208
Worst,346612,"Merge Sort (Worst, Size: 200000)",X,0,2644682791,15408616020
Worst,672991,"Quick Sort (Worst, Size: 200000)",X,0,2644682791,15408962786
Best,523145,"Merge Sort (Best, Size: 300000)",X,0,2644682791,15409636996
Best,1012183,"Quick Sort (Best, Size: 300000)",X,0,2644682791,15410160297
Average,559289,"Merge Sort (Average, Size: 300000)",X,0,2644682791,15411192212
Average,1032218,"Quick Sort (Average, Size: 300000)",X,0,2644682791,15411751658
Worst,524519,"Merge Sort (Worst, Size: 300000)",X,0,2644682791,15412789453
Worst,1016290,"Quick Sort (Worst, Size: 300000)",X,0,2644682791,15413314135
Best,709646,"Merge Sort (Best, Size: 400000)",X,0,2644682791,15414331998
Best,1361100,"Quick Sort (Best, Size: 400000)",X,0,2644682791,15415041811
Average,762001,"Merge Sort (Average, Size: 400000)",X,0,2644682791,15416429007
Average,1372705,"Quick Sort (Average, Size: 400000)",X,0,2644682791,15417191168
Worst,715976,"Merge Sort (Worst, Size: 400000)",X,0,2644682791,15418571090
Worst,1364769,"Quick Sort (Worst, Size: 400000)",X,0,2644682791,15419287229
Best,905159,"Merge Sort (Best, Size: 500000)",X,0,2644682791,15420654165
Best,1703838,"Quick Sort (Best, Size: 500000)",X,0,2644682791,15421560029
Average,950600,"Merge Sort (Average, Size: 500000)",X,0,2644682791,15423296499
Average,1739881,"Quick Sort (Average, Size: 500000)",X,0,2644682791,15424247277
Worst,915405,"Merge Sort (Worst, Size: 500000)",X,0,2644682791,15425996278
Worst,1723033,"Quick Sort (Worst, Size: 500000)",X,0,2644682791,15426911888
