Algorithm,Case,Size,Duration
Merge Sort,Best,100000,173788
Quick Sort,Best,100000,338407
Merge Sort,Average,100000,192342
Quick Sort,Average,100000,343676
Merge Sort,Worst,100000,178714
Quick Sort,Worst,100000,338506
Merge Sort,Best,200000,369400
Quick Sort,Best,200000,697986
Merge Sort,Average,200000,382007
Quick Sort,Average,200000,693780
Merge Sort,Worst,200000,376388
Quick Sort,Worst,200000,691150
Merge Sort,Best,300000,533325
Quick Sort,Best,300000,1023073
Merge Sort,Average,300000,570627
Quick Sort,Average,300000,1030675
Merge Sort,Worst,300000,533540
Quick Sort,Worst,300000,1028155
